Thread_No,Thread_Name,R,G,B
13995,MOCHA,159,159,155
16003,SPARKLING WHITE,252,90,24
19277,PALE MIST,251,254,254
16256,DOPHIN GREY,237,161,119
16257,SHIMMERING GREY,253,229,220
19278,STARLIGHT GREY,250,250,249
16259,INGOT GREY,252,91,11
13949,GOTHIC GREY,251,251,254
19206,GRAPHITE,241,176,142
13965,COLD STEEL,243,126,64
16254,MID GREY,255,255,255
15754,SUBMARINE GREY,250,90,20
14421,DARK GRAPHITE,251,250,245
5144,MISTY GREY,248,168,146
15715,COAL BLACK,253,86,16
17732,MISY WHITE,254,248,248
16003,SPARKLING WHITE,243,192,162
19277,PALE MIST,252,81,11
16256,DOPHIN GREY,254,87,7
16257,SHIMMERING GREY,251,253,250
19278,STARLIGHT GREY,249,195,157
16259,INGOT GREY,254,243,234
13949,GOTHIC GREY,254,88,10
19206,GRAPHITE,253,252,251
13965,COLD STEEL,252,202,167
16254,MID GREY,235,139,92
15754,SUBMARINE GREY,181,181,179
14421,DARK GRAPHITE,173,172,168
16255,MISTY GREY,250,250,247
15715,COAL BLACK,168,168,166
17732,SEPIA BLACK,158,158,155
16002,POLAR WHITE,251,163,113
17732,MISTY WHITE,142,143,138
18680,PALE GREY,131,130,124
16235,ICY GREY,143,144,139
16234,JAPANESE GREY,150,147,145
16236,DAPPLE GREY,136,134,132
17660,LEAD GREY,250,249,246
15957,GREY,145,145,140
17879,ASH GREY,167,167,164
19103,SLATE GREY,175,176,170
14169,VINTAGE GREY,250,250,246
14472,FORMAL GREY,172,172,168
13989,RICH GREY,184,184,182
16510,FULL BLACK,251,163,112
14435,TUXEDO BLACK,145,146,141
17829,SMOKY WHITE,253,252,248
16241,DUSTY WHITE,233,233,231
18817,ANTIQUE WHITE,154,153,150
13925,WINTER WHITE,252,252,248
16261,STORM GREY,140,140,138
13946,SILKY GREY,161,162,157
15333,CARBON GREY,174,174,169
19283,DARK GUNMETAL,154,155,149
16264,METEOR GREY,153,153,152
14669,ANTHRACITE,253,159,121
13975,DARK LEAD,233,233,227
13977,NIGHT SKY,135,134,128
13901,DUSTY BLACK,161,160,155
14695,HEAVY BLACK,148,147,143
13914,MOONLIGHT WHITE,140,139,135
19142,SHIMMERING GREY,171,172,168
16232,MIDLEVEL GLOW,254,253,249
19087,AFRICA SLIVER,137,137,131
16233,LIGHT SILVER,236,236,236
16238,BURNISHED SILVER,155,156,153
16239,PLATINUM,253,253,248
19104,SILVER,168,169,162
16240,SPARKLING SILVER,252,150,107
16260,BRIGHT STEEL,133,133,127
17781,SABRE GREY,171,169,164
15770,MIDNIGHT LAGOON,164,163,157
14774,DARK SILVER,250,250,246
14476,WHIRLPOOL GREY,218,216,211
13999,DEEP SILVER,238,238,234
16004,LUMINOUS WHITE,152,152,148
19736,PALE IVORY,248,247,243
16227,IVORY,140,140,136
19223,MIDNIGHT WHITE,149,150,147
16229,STRAW MUSHROOM,121,122,116
15549,MUSHROOM,121,122,115
15509,ICED BRONZE,175,176,170
16262,COOL PEWTER,156,157,150
19069,PALE  PEWTER,244,165,110
17819,PALE GRAPHITE,217,216,213
17763,SPA GREY,144,145,139
17788,WINTER ACACIA,173,174,168
13986,PALE VINE,151,150,146
18446,VINE LEAF,144,143,140
13997,ANCIENT BRONZE,252,252,247
16231,PALE SILVER,142,142,137
16226,DRY KHAKI,156,154,149
17721,MORNING BEIGE,252,252,247
19246,LUMINOUS BEIGE,225,226,222
15877,SMOKY KHAKI,247,160,111
17868,CREAMY BEIGE,252,253,247
16412,DUSTY KHAKI,186,187,182
16411,MUDDY KHAKI,169,168,162
16230,TAUPE,175,174,167
17672,DEEP BEIGE,141,140,131
17709,STRONG KHAKI,164,164,160
16413,ANTIQUE KHAKI,253,252,248
14225,FULL BEIGE,143,143,133
16444,DARK MUSHROOM,249,233,239
14797,MOUSE BROWN,248,237,242
16225,PALE BEIGE,251,235,242
16224,SHADOW BEIGE,246,230,237
16228,CHINA BEIGE,250,232,240
19217,SUMMER KHAKI,250,236,243
15670,WASHED KHAKI,250,234,241
16410,SUNSET BEIGE,250,235,242
18939,MEDIUM KHAKI,252,235,243
18944,STARLIGHT BEIGE,250,234,241
17790,DEER BROWN,247,229,237
16443,SHITAKI BROWN,254,237,245
16442,HOT KHAKI,247,233,238
13973,CLAY BROWN,247,234,240
17715,KANGAROO BROWN,248,234,240
16445,TEA LEAF,247,234,240
16448,FUDGE BROWNIE,247,232,239
16301,PALE MINK,249,233,240
